region,date,total_deaths
Europe,30/6/2022,0
Europe,31/1/2023,0
Europe,30/6/2023,0
Asia,31/1/2020,0
Asia,30/6/2020,296
Asia,31/1/2021,616
Asia,30/6/2021,1358
Asia,31/1/2022,2007
Asia,30/6/2022,2149
Asia,31/1/2023,2159
Asia,30/6/2023,2159
Asia,31/1/2024,2159
Asia,30/6/2024,2159
