region,date,total_deaths
Europe,30/6/2022,28
Europe,31/1/2023,28
Europe,30/6/2023,28
Europe,31/1/2024,28
Europe,30/6/2024,28
Europe,31/1/2020,0
Europe,30/6/2020,303
Europe,31/1/2021,724
Europe,30/6/2021,981
Europe,31/1/2022,2484
Europe,30/6/2022,5173
Europe,31/1/2023,8916
Europe,30/6/2023,10107
Europe,31/1/2024,11461
Europe,30/6/2024,11466
Europe,31/1/2020,0
Europe,30/6/2020,19322
Europe,31/1/2021,79905
Europe,30/6/2021,114030
Europe,31/1/2022,132054
Europe,30/6/2022,149995
Europe,31/1/2023,164480
Europe,30/6/2023,167985
Europe,31/1/2024,168081
Europe,30/6/2024,168091
Asia,31/1/2020,0
Asia,30/6/2020,15
Asia,31/1/2021,3178
Asia,30/6/2021,5266
Asia,31/1/2022,14895
Asia,30/6/2022,16791
Asia,31/1/2023,16933
Asia,30/6/2023,17099
Asia,31/1/2024,17147
Asia,30/6/2024,17150
Europe,31/1/2020,6
Europe,30/6/2020,9277
Europe,31/1/2021,70817
Europe,30/6/2021,92834
Europe,31/1/2022,122268
Europe,30/6/2022,144384
Europe,31/1/2023,168723
Europe,30/6/2023,174971
Europe,31/1/2024,174979
Europe,30/6/2024,174979
Europe,31/1/2020,0
Europe,30/6/2020,0
Europe,31/1/2021,73
Europe,30/6/2021,94
Europe,31/1/2022,100
Europe,30/6/2022,104
Europe,31/1/2023,111
Europe,30/6/2023,113
Europe,31/1/2024,113
Europe,30/6/2024,113
Europe,31/1/2020,0
Europe,30/6/2020,191
Europe,31/1/2021,5825
Europe,30/6/2021,12690
Europe,31/1/2022,23526
Europe,30/6/2022,30208
Europe,31/1/2023,35867
Europe,30/6/2023,37200
Europe,31/1/2024,38814
Europe,30/6/2024,39079
Europe,31/1/2020,0
Europe,30/6/2020,16
Europe,31/1/2021,16
Europe,30/6/2021,17
Europe,31/1/2022,30
Europe,30/6/2022,43
Europe,31/1/2023,66
Europe,30/6/2023,67
Europe,31/1/2024,67
Europe,30/6/2024,67
Asia,31/1/2020,
Asia,30/6/2020,
Asia,31/1/2021,
Asia,30/6/2021,
Asia,31/1/2022,
Asia,30/6/2022,
Asia,31/1/2023,
Asia,30/6/2023,
Asia,31/1/2024,
Asia,30/6/2024,
Europe,31/1/2020,0
Europe,30/6/2020,578
Europe,31/1/2021,12524
Europe,30/6/2021,29981
Europe,31/1/2022,41229
Europe,30/6/2022,46626
Europe,31/1/2023,48638
Europe,30/6/2023,48797
Europe,31/1/2024,49031
Europe,30/6/2024,49051
Europe,31/1/2020,0
Europe,30/6/2020,10
Europe,31/1/2021,29
Europe,30/6/2021,30
Europe,31/1/2022,43
Europe,30/6/2022,115
Europe,31/1/2023,186
Europe,30/6/2023,186
Europe,31/1/2024,186
Europe,30/6/2024,186
Asia,31/1/2020,0
Asia,30/6/2020,16095
Asia,31/1/2021,154274
Asia,30/6/2021,395751
Asia,31/1/2022,494091
Asia,30/6/2022,524999
Asia,31/1/2023,530740
Asia,30/6/2023,531903
Asia,31/1/2024,533445
Asia,30/6/2024,533622
Asia,31/1/2020,0
Asia,30/6/2020,2754
Asia,31/1/2021,29998
Asia,30/6/2021,57138
Asia,31/1/2022,144303
Asia,30/6/2022,156717
Asia,31/1/2023,160803
Asia,30/6/2023,161865
Asia,31/1/2024,162045
Asia,30/6/2024,162058
Asia,31/1/2020,0
Asia,30/6/2020,10364
Asia,31/1/2021,57889
Asia,30/6/2021,83711
Asia,31/1/2022,132380
Asia,30/6/2022,141383
Asia,31/1/2023,144744
Asia,30/6/2023,146292
Asia,31/1/2024,146785
Asia,30/6/2024,146837
Asia,31/1/2020,0
Asia,30/6/2020,1660
Asia,31/1/2021,13041
Asia,30/6/2021,17061
Asia,31/1/2022,24361
Asia,30/6/2022,25229
Asia,31/1/2023,25375
Asia,30/6/2023,25375
Asia,31/1/2024,25375
Asia,30/6/2024,25375
Europe,31/1/2020,0
Europe,30/6/2020,1711
Europe,31/1/2021,3558
Europe,30/6/2021,5035
Europe,31/1/2022,6395
Europe,30/6/2022,7586
Europe,31/1/2023,8696
Europe,30/6/2023,9081
Europe,31/1/2024,9536
Europe,30/6/2024,9695
Europe,31/1/2020,0
Europe,30/6/2020,34
Europe,31/1/2021,35
Europe,30/6/2021,39
Europe,31/1/2022,71
Europe,30/6/2022,108
Europe,31/1/2023,116
Europe,30/6/2023,116
Europe,31/1/2024,116
Europe,30/6/2024,116
Asia,31/1/2020,0
Asia,30/6/2020,326
Asia,31/1/2021,4765
Asia,30/6/2021,6436
Asia,31/1/2022,8889
Asia,30/6/2022,10960
Asia,31/1/2023,12199
Asia,30/6/2023,12567
Asia,31/1/2024,12707
Asia,30/6/2024,12707
Europe,31/1/2020,0
Europe,30/6/2020,34716
Europe,31/1/2021,88279
Europe,30/6/2021,127458
Europe,31/1/2022,145914
Europe,30/6/2022,168058
Europe,31/1/2023,186904
Europe,30/6/2023,190820
Europe,31/1/2024,196607
Europe,30/6/2024,197159
Asia,31/1/2020,0
Asia,30/6/2020,971
Asia,31/1/2021,5654
Asia,30/6/2021,14669
Asia,31/1/2022,18764
Asia,30/6/2022,31139
Asia,31/1/2023,58496
Asia,30/6/2023,74694
Asia,31/1/2024,74694
Asia,30/6/2024,74694
Europe,31/1/2020,0
Europe,30/6/2020,31
Europe,31/1/2021,66
Europe,30/6/2021,69
Europe,31/1/2022,100
Europe,30/6/2022,131
Europe,31/1/2023,157
Europe,30/6/2023,161
Europe,31/1/2024,161
Europe,30/6/2024,161
Asia,31/1/2020,0
Asia,30/6/2020,9
Asia,31/1/2021,4304
Asia,30/6/2021,9718
Asia,31/1/2022,13174
Asia,30/6/2022,14068
Asia,31/1/2023,14122
Asia,30/6/2023,14122
Asia,31/1/2024,14122
Asia,30/6/2024,14122
Asia,31/1/2020,0
Asia,30/6/2020,173
Asia,31/1/2021,3035
Asia,30/6/2021,7666
Asia,31/1/2022,18490
Asia,30/6/2022,19018
Asia,31/1/2023,19065
Asia,30/6/2023,19072
Asia,31/1/2024,19072
Asia,30/6/2024,19072
Europe,31/1/2020,0
Europe,30/6/2020,37
Europe,31/1/2021,1482
Europe,30/6/2021,2247
Europe,31/1/2022,3002
Europe,30/6/2022,3130
Europe,31/1/2023,3192
Europe,30/6/2023,3209
Europe,31/1/2024,3212
Europe,30/6/2024,3212
Asia,31/1/2020,0
Asia,30/6/2020,344
Asia,31/1/2021,959
